ts,utc_day,alts_n,negative_share,negative_share_30d_avg,median_premium_pct,funding_n,funding_median_8h,funding_hot_n,funding_negative_n,liq_events,liq_long_usd,liq_short_usd,liq_largest_symbol,liq_largest_usd
2026-08-27T15:27:09Z,2026-08-26,529,0.5142,0.5887,-0.0044,536,5e-05,3,48,62073,95844195,158570143,ETHUSDT,12503529
2026-08-28T03:43:47Z,2026-08-27,537,0.5605,0.5826,-0.01596,522,5e-05,7,45,58051,119830844,133669163,ETHUSDT,12503529
2026-08-29T03:58:04Z,2026-08-28,538,0.5446,0.5773,-0.01638,528,5e-05,7,54,57603,179187196,78069533,ETHUSDT,11574816
2026-08-30T03:49:15Z,2026-08-29,545,0.567,0.5734,-0.01408,537,5e-05,7,48,33163,20644361,27460839,SOLUSDT,951390
2026-08-31T03:44:40Z,2026-08-30,530,0.6472,0.5706,-0.03513,538,5e-05,9,86,68597,153316717,95148849,ETHUSDT,4597343
2026-09-01T03:41:55Z,2026-08-31,544,0.5699,0.5706,-0.03653,529,5e-05,11,60,44330,39729354,69749854,ETHUSDT,5021587
2026-09-02T03:45:45Z,2026-09-01,541,0.5767,0.5673,-0.03867,523,5e-05,14,58,62201,151667181,69853350,ETHUSDT,11897374
2026-09-03T03:42:16Z,2026-09-02,526,0.5627,0.5663,-0.03952,531,5e-05,11,60,77550,99603282,95809506,AKEUSDT,4741577
2026-09-04T03:41:38Z,2026-09-03,529,0.5331,0.5647,-0.01669,527,5e-05,16,55,64757,98250163,219278752,BTCUSDT,5299532
2026-09-05T03:44:09Z,2026-09-04,536,0.528,0.5616,-0.00835,520,5e-05,8,43,61855,145154932,99256133,BTCUSDT,22893726
